,sigmaT,d18Oc,lon,lat,species,species_idx,y_hat,residuals
246,23.276732444763184,-1.8659999999999899,-39.5,-1.5,ruber,0,22.940948990725392,-0.33578345403779153
247,23.26077651977539,-1.376,-39.5,-0.5,ruber,0,23.755307496976023,0.49453097720063255
248,23.284703254699707,-1.395,-39.5,8.5,ruber,0,23.717185037876334,0.4324817831766268
249,23.284703254699707,-1.39,-39.5,8.5,sacculifer,1,23.736467578097557,0.45176432339784967
250,23.369800567626953,-1.689,-39.5,9.5,ruber,0,23.244812232129576,-0.12498833549737753
251,26.201801300048828,0.84,-39.5,45.5,pachy_d,3,26.32385837288033,0.12205707283150247
252,26.201801300048828,2.85,-39.5,45.5,pachy_s,4,27.159942090174663,0.9581407901258352
253,26.74237298965454,1.27,-39.5,51.5,pachy_d,3,26.62742149203489,-0.11495149761964996
254,24.85948896408081,-0.18,-38.5,-30.5,ruber,0,25.360467028535407,0.5009780644545963
255,24.85948896408081,-0.27,-38.5,-30.5,sacculifer,1,25.247182618569788,0.3876936544889773
256,24.657822132110596,-0.99,-38.5,-22.5,sacculifer,1,24.34192862844328,-0.31589350366731495
257,24.637856006622314,-1.64,-38.5,-21.5,ruber,0,23.32759442646404,-1.3102615801582758
258,24.637856006622314,-0.83,-38.5,-21.5,sacculifer,1,24.53628595314495,-0.10157005347736359
259,24.861790657043457,-0.46,-37.5,-30.5,ruber,0,25.018518245415443,0.15672758837198586
260,24.861790657043457,-0.42,-37.5,-30.5,sacculifer,1,25.074308477255173,0.2125178202117155
261,23.347719192504883,-1.585,-37.5,-4.5,sacculifer,1,23.433812926664235,0.08609373415935195
262,23.33770179748535,-1.31199999999999,-37.5,-3.5,sacculifer,1,23.83714429637386,0.49944249888850933
263,25.473860263824463,-0.25,-37.5,31.5,ruber,0,25.26279517816687,-0.2110650856575944
264,24.96168565750122,-0.48,-36.5,-32.5,ruber,0,25.00271848117133,0.04103282367010763
265,24.96168565750122,-0.49,-36.5,-32.5,sacculifer,1,24.979517067231562,0.017831409730341363
266,24.911619663238525,-0.38,-36.5,-31.5,ruber,0,25.100553075565468,0.18893341232694283
267,24.911619663238525,0.22500000000000003,-36.5,-31.5,sacculifer,1,25.77166088871914,0.8600412254806145
268,23.368637561798096,-1.79,-36.5,-4.5,ruber,0,23.07845746284346,-0.2901800989546359
269,23.368637561798096,-1.52287749287749,-36.5,-4.5,sacculifer,1,23.52257226010099,0.1539346983028942
270,25.438674926757812,0.3,-36.5,30.5,bulloides,2,25.849892744372664,0.4112178176148511
271,25.438674926757812,-0.23,-36.5,30.5,sacculifer,1,25.29377247538227,-0.14490245137554325
272,25.49882411956787,0.87,-36.5,31.5,bulloides,2,26.33117601096605,0.8323518913981793
273,25.49882411956787,-0.24,-36.5,31.5,ruber,0,25.273490458552978,-0.2253336610148935
274,25.49882411956787,-0.47,-36.5,31.5,sacculifer,1,25.007945444744863,-0.4908786748230085
275,26.950777530670166,1.69,-36.5,52.5,bulloides,2,26.84128321461515,-0.10949431605501658
276,26.950777530670166,2.315,-36.5,52.5,pachy_s,4,27.074147769427654,0.12337023875748798
277,24.916502952575684,-0.095,-35.5,-31.5,ruber,0,25.44906382596781,0.532560873392125
278,24.916502952575684,-0.20500000000000002,-35.5,-31.5,sacculifer,1,25.314469096169855,0.3979661435941715
279,23.25468111038208,-1.5010000000000001,-35.5,2.5,ruber,0,23.551767395821,0.2970862854389189
280,23.25468111038208,-1.52,-35.5,2.5,sacculifer,1,23.50895822401748,0.25427711363539984
