lat,lon,species,d18Oc,sigmaT
-48.694,-2.848,"G, bulloides",2.67,26.79819679260254
-50.742,-3.212,"G, bulloides",3.18,26.937883377075195
-50.742,-3.212,"G, bulloides",3.14,26.937883377075195
-51.33,-3.324,"G, bulloides",2.47,26.99968719482422
-51.33,-3.324,"G, bulloides",2.57,26.99968719482422
-51.33,-3.324,"G, bulloides",2.76,26.99968719482422
-49.134,6.706,"G, bulloides",2.73,26.878875732421875
-49.134,6.706,"G, bulloides",2.82,26.878875732421875
-49.134,6.706,"G, bulloides",2.97,26.878875732421875
-41.854,0.094,"G, bulloides",2.07,26.279821395874023
-44.896,1.54,"G, bulloides",2.05,26.53345489501953
-20.119,8.97,"G, bulloides",0.11,25.311464309692383
-20.119,8.97,"G, bulloides",0.0,25.311464309692383
-44.896,1.54,"G, bulloides",2.03,26.53345489501953
-44.25,1.838,"G, bulloides",1.98,26.53345489501953
-44.25,1.838,"G, bulloides",1.82,26.53345489501953
-44.25,1.838,"G, bulloides",1.89,26.53345489501953
-44.25,1.838,"G, bulloides",1.87,26.53345489501953
-42.239,5.223,"G, bulloides",1.72,26.391036987304688
-37.518,14.112,"G, bulloides",2.66,25.64221954345703
-37.518,14.112,"G, bulloides",1.3,25.64221954345703
-35.61,16.355,"G, bulloides",0.74,25.556798934936523
-35.61,16.355,"G, bulloides",1.42,25.556798934936523
-35.61,16.355,"G, bulloides",2.84,25.556798934936523
-35.61,16.355,"G, bulloides",3.33,25.556798934936523
-35.61,16.355,"G, bulloides",1.82,25.556798934936523
-34.753,17.365,"G, bulloides",0.25,25.686294555664062
-34.753,17.365,"G, bulloides",0.1,25.686294555664062
-34.753,17.365,"G, bulloides",0.2,25.686294555664062
-20.119,8.97,"G, bulloides",0.06,25.311464309692383
-20.119,8.97,"G, bulloides",-0.21,25.311464309692383
-49.134,6.706,"G, bulloides",2.79,26.878875732421875
-53.736,-58.904,"G, bulloides",1.85,26.805862426757812
-53.606,-58.977,"G, bulloides",2.29,26.805862426757812
60.57,-22.09,"G, bulloides",1.58,27.144697189331055
36.77,-9.85,"G, bulloides",0.08,26.12861442565918
38.2,18.03,"G, bulloides",1.35,27.324037551879883
-40.93,9.9,"G, bulloides",1.955,26.191680908203125
65.8457,-4.0718,"G, bulloides",2.3,27.46693229675293
-40.618,25.615,"G, bulloides",1.6096,25.90178108215332
-40.618,25.615,"G, bulloides",2.7381,25.90178108215332
-40.618,25.615,"G, bulloides",2.5474,25.90178108215332
-40.618,25.615,"G, bulloides",2.9488,25.90178108215332
-46.512,-15.333,"G, bulloides",1.7616,26.667192459106445
-46.512,-15.333,"G, bulloides",2.3643,26.667192459106445
-46.512,-15.333,"G, bulloides",2.6843,26.667192459106445
-41.288,-14.5,"G, bulloides",0.8382,26.295198440551758
-41.288,-14.5,"G, bulloides",0.7036,26.295198440551758
-41.288,-14.5,"G, bulloides",0.9631,26.295198440551758
-41.288,-14.5,"G, bulloides",1.7687,26.295198440551758
-41.69,-12.34,"G, bulloides",1.0083,26.284339904785156
37.1,-9.48,"G, bulloides",0.13,26.21799659729004
-41.69,-12.34,"G, bulloides",0.7153,26.284339904785156
37.97,0.83,"G, bulloides",1.02,26.563377380371094
37.77,-10.18,"G, bulloides",0.06,26.160566329956055
